@relation Laubbaum

@attribute Baumgattung {Eiche,Buche,Ahorn,Linde,Kastanie,Esche,Birke,Robinie,Schlehe,Walnuss,Ginkgo,Erle,'gemeine Hasel',Weißdorn}
@attribute 'Blätter - Blattanordnung' {wechselständig,gegenständig}
@attribute 'Blätter - Länge [cm]' numeric
@attribute 'Blätter - Blattaufteilung' {'geteilt (tiefe Einschnitte)','gebuchtet (mittelgroße Einbuchtungen)',ungeteilt}
@attribute 'Blätter - Blattform' {herzförmig,'rund oder eliptisch',dreieckig,fächerförmig,'andere Blattform'}
@attribute 'Blätter - Blattrand' {'relativ glattrandig',gewellt,gezackt,gelappt,gesägt}
@attribute 'Blätter - Blatttyp' {'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','mehrere Blätter am Stiel','ein Blatt pro Stiel'}
@attribute 'Früchte und Blüten - Blüten' {'grün, vor oder mit dem Laubaustrieb','weiß/gelb, klein, nach dem Laubaustrieb','reinweiß, cremefarben in Doldenrispen','weiß, in hängenden Trauben','weiß oder rot, kerzenförmig, nach dem Laubaustrieb','gelb, vor oder mit dem Laubaustrieb','hängende Trauben',Kätzchen,'andere Blüten','keine Blüten zu erkennen'}
@attribute 'Früchte und Blüten - Fruchtfarbe' {schwärzlich/blau,rot,grün/braun}
@attribute 'Früchte und Blüten - Fruchttyp' {Kastanie,'tetraederförmig, braun (Buchecker)','becherförmig grün/braun (Eichel)','Propeller mit Kern','Flügel mit einem Kern','Flügel mit zwei Kernen','abgeflachte Hülsen',zapfenhähnlich,Steinfrucht,Walnuss,kugelig,Haselnuss,'Nussfrucht, häutig geflügelt',Hülsenfrucht,'andere Früchte','keine Früchte zu erkennen'}
@attribute 'Habitus - Beginn der Beblätterung' {'eher mager','sehr dicht (normal)'}
@attribute 'Habitus - Habitusform' {'eher rundlich (normal)','eher pyramidenförmig',strauchartig}
@attribute 'Stamm - Stammfarbe' {grau-braun,braun,'dunkelbraun bis schwarz',weißlich,grau,grün,grau-grün}
@attribute 'Stamm - Stammoberfläche' {rau,schuppig,rissig,tiefrissig,glatt}
@attribute 'Höhe [m]' numeric

@data
Weißdorn,wechselständig,5.620149,'geteilt (tiefe Einschnitte)','andere Blattform',gezackt,'mehrere Blätter am Stiel','reinweiß, cremefarben in Doldenrispen',rot,kugelig,'eher mager','eher pyramidenförmig',grün,glatt,3.220758
Robinie,wechselständig,18.500593,ungeteilt,'rund oder eliptisch',gelappt,'mehrere Blätter am Stiel','weiß, in hängenden Trauben',grün/braun,Hülsenfrucht,'eher mager','eher rundlich (normal)',weißlich,glatt,17.754689
Buche,wechselständig,8.392603,ungeteilt,'rund oder eliptisch','relativ glattrandig','mehrere Blätter am Stiel','grün, vor oder mit dem Laubaustrieb',grün/braun,'tetraederförmig, braun (Buchecker)','eher mager','eher pyramidenförmig','dunkelbraun bis schwarz',glatt,24.796912
Ginkgo,wechselständig,5.539957,'gebuchtet (mittelgroße Einbuchtungen)',fächerförmig,gewellt,'ein Blatt pro Stiel','gelb, vor oder mit dem Laubaustrieb',grün/braun,kugelig,'eher mager','eher rundlich (normal)',grau-braun,rissig,32.063446
Esche,gegenständig,33.434491,ungeteilt,'rund oder eliptisch',gesägt,'mehrere Blätter am Stiel','gelb, vor oder mit dem Laubaustrieb',grün/braun,'Flügel mit einem Kern','sehr dicht (normal)','eher rundlich (normal)',grau,rissig,37.320449
Walnuss,wechselständig,7.887007,ungeteilt,'rund oder eliptisch','relativ glattrandig','mehrere Blätter am Stiel',Kätzchen,grün/braun,Walnuss,'sehr dicht (normal)',strauchartig,grün,rau,17.687268
Buche,wechselständig,7.616092,'gebuchtet (mittelgroße Einbuchtungen)','rund oder eliptisch',gesägt,'ein Blatt pro Stiel','grün, vor oder mit dem Laubaustrieb',grün/braun,'tetraederförmig, braun (Buchecker)','sehr dicht (normal)','eher pyramidenförmig',weißlich,glatt,25.311004
Ginkgo,wechselständig,4.939988,'gebuchtet (mittelgroße Einbuchtungen)',fächerförmig,gesägt,'ein Blatt pro Stiel',Kätzchen,grün/braun,kugelig,'sehr dicht (normal)',strauchartig,grau,rissig,29.165681
Linde,wechselständig,11.213569,ungeteilt,herzförmig,gelappt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','weiß/gelb, klein, nach dem Laubaustrieb',grün/braun,'Propeller mit Kern','sehr dicht (normal)','eher pyramidenförmig',grau,schuppig,22.923673
Weißdorn,wechselständig,5.916434,'gebuchtet (mittelgroße Einbuchtungen)','andere Blattform',gelappt,'mehrere Blätter am Stiel','reinweiß, cremefarben in Doldenrispen',rot,kugelig,'sehr dicht (normal)',strauchartig,grau-grün,rissig,4.521112
